# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       2.170911854437e-03      -6.033144906093e-01      -5.524351300021e-01      -5.533333640173e-01      -5.533314945716e-01       0.000000000000e+00      -5.897400042020e-01      -5.544762070736e-01       5.976736381329e-01       5.867302551885e-01      -2.850338353176e-04      -2.783525994939e-07      -1.876545852643e-10                      nan      -2.975932497632e-04      -1.114924963559e-05 
       2.273789735608e-03      -6.480889048365e-01      -6.052480746810e-01      -6.063285450695e-01      -6.063266558377e-01       0.000000000000e+00      -6.321349534045e-01      -6.071758609993e-01       5.963411212590e-01       5.857889758381e-01      -3.381472219797e-04      -3.344799778569e-07      -1.856920593041e-10                      nan      -3.524036491103e-04      -1.321738781400e-05 
       2.378224553543e-03      -6.932921348592e-01      -6.612126225507e-01      -6.625050145393e-01      -6.625031060659e-01       0.000000000000e+00      -6.746774703369e-01      -6.629689663294e-01       5.949416794153e-01       5.847950433106e-01      -3.985664614812e-04      -3.996547845916e-07      -1.838660156879e-10                      nan      -4.145676127121e-04      -1.556730740157e-05 
       2.484083493407e-03      -7.386010527104e-01      -7.203392316827e-01      -7.218766731688e-01      -7.218747459655e-01       0.000000000000e+00      -7.170368814154e-01      -7.218590176719e-01       5.934771498714e-01       5.837489157525e-01      -4.668116966893e-04      -4.749012745640e-07      -1.821661172143e-10                      nan      -4.845615203039e-04      -1.821839225572e-05 
       2.591244358870e-03      -7.836832918474e-01      -7.826316124354e-01      -7.844508875951e-01      -7.844489421452e-01       0.000000000000e+00      -7.588774444625e-01      -7.838429124660e-01       5.919495926539e-01       5.826511771530e-01      -5.433715131811e-04      -5.613028212142e-07      -1.805825211796e-10                      nan      -5.628201247997e-04      -2.118867031705e-05 
       2.699595254825e-03      -8.282015848518e-01      -8.480876271606e-01      -8.502293852433e-01      -8.502274220041e-01       0.000000000000e+00      -7.998629658975e-01      -8.489119497282e-01       5.903613467851e-01       5.815026089051e-01      -6.286943121152e-04      -6.599974879791e-07      -1.791059788800e-10                      nan      -6.497279625516e-04      -2.449448332236e-05 
       2.809034094888e-03      -8.718178394108e-01      -9.166998478203e-01      -9.192088300067e-01      -9.192068494133e-01       0.000000000000e+00      -8.396615448187e-01      -9.170525122060e-01       5.887148958910e-01       5.803040726320e-01      -7.231799124111e-04      -7.721867832935e-07      -1.777278715513e-10                      nan      -7.456107240294e-04      -2.815016317083e-05 
       2.919468000394e-03      -9.141972079031e-01      -9.884563101709e-01      -9.913815552749e-01      -9.913795577416e-01       0.000000000000e+00      -8.779498307810e-01      -9.882469017065e-01       5.870129210358e-01       5.790565777183e-01      -8.271717466510e-04      -8.991241760930e-07      -1.764402177563e-10                      nan      -8.507279847404e-04      -3.216773980480e-05 
       3.030812641761e-03      -9.550117887701e-01      -1.063341024934e+00      -1.066736016469e+00      -1.066734002392e+00       0.000000000000e+00      -9.144172724286e-01      -1.062473901625e+00       5.852582118737e-01       5.777612080259e-01      -9.409495518026e-04      -1.042094553947e-06      -1.752356533422e-10                      nan      -9.652663192003e-04      -3.655666484815e-05 
       3.142991559685e-03      -9.939447219641e-01      -1.141334406064e+00      -1.145257451485e+00      -1.145255421241e+00       0.000000000000e+00      -9.487698016188e-01      -1.139709495014e+00       5.834537299095e-01       5.764191981866e-01      -1.064722841424e-03      -1.202500645107e-06      -1.741074907073e-10                      nan      -1.089334024988e-03      -4.132359502026e-05 
