# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                
       5.521959330390e-04      -4.765925770440e-02      -3.620188925131e-02      -3.620565207385e-02       0.000000000000e+00      -4.758751037740e-02      -3.653613656500e-02       6.113581856651e-01       5.961271654682e-01 
       5.886566801031e-04      -5.406022774631e-02      -4.113543767188e-02      -4.114029691022e-02       0.000000000000e+00      -5.396776214833e-02      -4.151285632050e-02       6.112222644168e-01       5.960363224571e-01 
       6.276185643138e-04      -6.132329691774e-02      -4.675449068401e-02      -4.676076955214e-02       0.000000000000e+00      -6.120409370351e-02      -4.718038948849e-02       6.110675913247e-01       5.959328903563e-01 
       6.692615934693e-04      -6.956282183389e-02      -5.315633052076e-02      -5.316444852307e-02       0.000000000000e+00      -6.940910680810e-02      -5.363657047849e-02       6.108915457043e-01       5.958150931828e-01 
       7.137617003222e-04      -7.890354921622e-02      -6.044933747087e-02      -6.045983883192e-02       0.000000000000e+00      -7.870530084007e-02      -6.099032847409e-02       6.106912192814e-01       5.956809551435e-01 
       7.612858261435e-04      -8.947949344149e-02      -6.875299327874e-02      -6.876658241561e-02       0.000000000000e+00      -8.922383177829e-02      -6.936166251496e-02       6.104634240131e-01       5.955283026897e-01 
       8.119864671933e-04      -1.014320225309e-01      -7.819744370157e-02      -7.821502904428e-02       0.000000000000e+00      -1.011024617277e-01      -7.888116641943e-02       6.102047109268e-01       5.953547732694e-01 
       8.659959882004e-04      -1.149070609136e-01      -8.892254463777e-02      -8.894529408347e-02       0.000000000000e+00      -1.144826054837e-01      -8.968902908051e-02       6.099114042420e-01       5.951578375373e-01 
       9.234211115549e-04      -1.300513703206e-01      -1.010763583873e-01      -1.011057653520e-01       0.000000000000e+00      -1.295054497283e-01      -1.019334732070e-01       6.095796503285e-01       5.949348262259e-01 
       9.843380583383e-04      -1.470079798882e-01      -1.148131095284e-01      -1.148510733483e-01       0.000000000000e+00      -1.463072129319e-01      -1.157686476292e-01       6.092054859473e-01       5.946829729754e-01 
