# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_dmeff               15:t_fld                 16:t_ur                  17:t_tot              
       2.164984592990e-04      -1.557789068121e+00      -1.168352676904e+00      -1.168352766295e+00      -1.168352764881e+00       0.000000000000e+00      -1.557787349989e+00      -1.179638913406e+00       6.122040081235e-01       5.966913320600e-01       6.992184691665e-06       7.024794510375e-06       7.024822574934e-06       7.024822386618e-06                      nan       6.990073533974e-06       7.023536017487e-06 
       2.334344144703e-04      -1.558961572115e+00      -1.169235881391e+00      -1.169236002171e+00      -1.169236000261e+00       0.000000000000e+00      -1.558959250703e+00      -1.180530520353e+00       6.121786185169e-01       5.966743405258e-01       8.122591025423e-06       8.166664526147e-06       8.166702419693e-06       8.166702165174e-06                      nan       8.119739762150e-06       8.164963624144e-06 
       2.510706081373e-04      -1.560272210152e+00      -1.170223815004e+00      -1.170223976017e+00      -1.170223973461e+00       0.000000000000e+00      -1.560269106134e+00      -1.181527829579e+00       6.121509593767e-01       5.966560291593e-01       9.388131916694e-06       9.447068199819e-06       9.447118734983e-06       9.447118394388e-06                      nan       9.384320462184e-06       9.444793618072e-06 
       2.694812277303e-04      -1.561746040046e+00      -1.171335632711e+00      -1.171335847552e+00      -1.171335844160e+00       0.000000000000e+00      -1.561741920030e+00      -1.182650170339e+00       6.121186633241e-01       5.966343150479e-01       1.080481842215e-05       1.088305185693e-05       1.088311926310e-05       1.088311881107e-05                      nan       1.079976305786e-05       1.088003284684e-05 
       2.887471433953e-04      -1.563394737860e+00      -1.172580444569e+00      -1.172580727665e+00      -1.172580723194e+00       0.000000000000e+00      -1.563389310287e+00      -1.183906727037e+00       6.120833639624e-01       5.966108092409e-01       1.239136237333e-05       1.249443406731e-05       1.249452289766e-05       1.249452230184e-05                      nan       1.238470610977e-05       1.249045663793e-05 
       3.089565513139e-04      -1.565244520369e+00      -1.173978448543e+00      -1.173978819165e+00      -1.173978813304e+00       0.000000000000e+00      -1.565237411524e+00      -1.185317875028e+00       6.120437340740e-01       5.965844180319e-01       1.416911610391e-05       1.430414884193e-05       1.430426515199e-05       1.430426437103e-05                      nan       1.416040271947e-05       1.429893812444e-05 
       3.302056182976e-04      -1.567321721350e+00      -1.175550055604e+00      -1.175550538526e+00      -1.175550530879e+00       0.000000000000e+00      -1.567312453350e+00      -1.186904200163e+00       6.119992427358e-01       5.965547989662e-01       1.616271567357e-05       1.633881002221e-05       1.633896157931e-05       1.633896056030e-05                      nan       1.615136284035e-05       1.633201485839e-05 
       3.525991041420e-04      -1.569657324708e+00      -1.177319361404e+00      -1.177319988095e+00      -1.177319978152e+00       0.000000000000e+00      -1.569645286531e+00      -1.188690001574e+00       6.119491342968e-01       5.965214255041e-01       1.840047191657e-05       1.862928669874e-05       1.862948332932e-05       1.862948200448e-05                      nan       1.838573604908e-05       1.862045715470e-05 
       3.762509287930e-04      -1.572286054570e+00      -1.179313495437e+00      -1.179314308636e+00      -1.179314295745e+00       0.000000000000e+00      -1.572270459243e+00      -1.190702635916e+00       6.118928061421e-01       5.964839348788e-01       2.091492463505e-05       2.121138879800e-05       2.121164409630e-05       2.121164237861e-05                      nan       2.089585133110e-05       2.119994951794e-05 
       4.012846398372e-04      -1.575250321136e+00      -1.181565724210e+00      -1.181566774776e+00      -1.181566758096e+00       0.000000000000e+00      -1.575230165113e+00      -1.192975638710e+00       6.118289541486e-01       5.964413578366e-01       2.374326487866e-05       2.412661655023e-05       2.412694627339e-05       2.412694405088e-05                      nan       2.371863657256e-05       2.411182488163e-05 
       4.278337222871e-04      -1.578596365945e+00      -1.184112562865e+00      -1.184113919226e+00      -1.184113897674e+00       0.000000000000e+00      -1.578570353262e+00      -1.195545817772e+00       6.117567421265e-01       5.963931844177e-01       2.692807835740e-05       2.742305281421e-05       2.742347845077e-05       2.742347557912e-05                      nan       2.689632838346e-05       2.740395486632e-05 
       4.560416775835e-04      -1.582376771284e+00      -1.186996011908e+00      -1.186997684043e+00      -1.186997656220e+00       0.000000000000e+00      -1.582343359253e+00      -1.198455429923e+00       6.116753086859e-01       5.963389762559e-01       3.051774584522e-05       3.115635546747e-05       3.115686493135e-05       3.115686122413e-05                      nan       3.047696825986e-05       3.113168655404e-05 
       4.860617833145e-04      -1.586656668420e+00      -1.190267671123e+00      -1.190269875447e+00      -1.190269839543e+00       0.000000000000e+00      -1.586613538780e+00      -1.201756625426e+00       6.115825177236e-01       5.962769822554e-01       3.456725442662e-05       3.539055361397e-05       3.539123594421e-05       3.539123116018e-05                      nan       3.451471847525e-05       3.535877136802e-05 
       5.180564313506e-04      -1.591503511698e+00      -1.193982554562e+00      -1.193985367632e+00      -1.193985321300e+00       0.000000000000e+00      -1.591448004876e+00      -1.205504661333e+00       6.114775026539e-01       5.962069183555e-01       3.913819534294e-05       4.019957933568e-05       4.020044863988e-05       4.020044246633e-05                      nan       3.907066407952e-05       4.015860094976e-05 
       5.521959330390e-04      -1.597001495490e+00      -1.198208369949e+00      -1.198212245683e+00      -1.198212185876e+00       0.000000000000e+00      -1.596929555931e+00      -1.209768012834e+00       6.113575219785e-01       5.961265408668e-01       4.429969009545e-05       4.566779068416e-05       4.566902371997e-05       4.566901575107e-05                      nan       4.421250412638e-05       4.561505869442e-05 
       5.886566801031e-04      -1.603234690578e+00      -1.203016211011e+00      -1.203021123768e+00      -1.203021046531e+00       0.000000000000e+00      -1.603142130755e+00      -1.214617759045e+00       6.112218177594e-01       5.960359279130e-01       5.012729541001e-05       5.189194046595e-05       5.189348814876e-05       5.189347785740e-05                      nan       5.001529809355e-05       5.182389692140e-05 
       6.276185643138e-04      -1.610307236776e+00      -1.208492444007e+00      -1.208498742708e+00      -1.208498642901e+00       0.000000000000e+00      -1.610188000038e+00      -1.220141063111e+00       6.110672673949e-01       5.959326222993e-01       5.670407573675e-05       5.898105376451e-05       5.898303270225e-05       5.898301940363e-05                      nan       5.656011229894e-05       5.889324907199e-05 
       6.692615934693e-04      -1.618331603144e+00      -1.214732581511e+00      -1.214740875426e+00      -1.214740746375e+00       0.000000000000e+00      -1.618177583446e+00      -1.226434116002e+00       6.108909585441e-01       5.958145336973e-01       6.411885586502e-05       6.705782659173e-05       6.706045091958e-05       6.706043372443e-05                      nan       6.393352520167e-05       6.694455810096e-05 
       7.137617003222e-04      -1.627424649342e+00      -1.221840105323e+00      -1.221850655268e+00      -1.221850488316e+00       0.000000000000e+00      -1.627226319332e+00      -1.233600487631e+00       6.106908772419e-01       5.956806635469e-01       7.246433845594e-05       7.625938825749e-05       7.626270414582e-05       7.626268190070e-05                      nan       7.222631757355e-05       7.611308799437e-05 
       7.612858261435e-04      -1.637719847974e+00      -1.229933208828e+00      -1.229946841737e+00      -1.229946625681e+00       0.000000000000e+00      -1.637464103536e+00      -1.241759231193e+00       6.104631108445e-01       5.955280394061e-01       8.183576433886e-05       8.673634325079e-05       8.674061983124e-05       8.674059104320e-05                      nan       8.152995519938e-05       8.654744453411e-05 
       8.119864671933e-04      -1.649354496834e+00      -1.239138906427e+00      -1.239156709481e+00      -1.239156429859e+00       0.000000000000e+00      -1.649024575080e+00      -1.251037826943e+00       6.102041386584e-01       5.953542356510e-01       9.232658725036e-05       9.865297871485e-05       9.865859475321e-05       9.865855749554e-05                      nan       9.193381765233e-05       9.840922834956e-05 
       8.659959882004e-04      -1.662466498462e+00      -1.249591692048e+00      -1.249614654307e+00      -1.249614292532e+00       0.000000000000e+00      -1.662041684041e+00      -1.261570741157e+00       6.099110337316e-01       5.951574907055e-01       1.040242438347e-04       1.121862425599e-04       1.121934692111e-04       1.121934210071e-04                      nan       1.035208798078e-04       1.118718053505e-04 
       9.234211115549e-04      -1.677198090846e+00      -1.261436718896e+00      -1.261465974169e+00      -1.261465506461e+00       0.000000000000e+00      -1.676652437554e+00      -1.273503098045e+00       6.095797303165e-01       5.949349583552e-01       1.170045768046e-04       1.275232533217e-04       1.275324042249e-04       1.275323419062e-04                      nan       1.163612379412e-04       1.271179796448e-04 
       9.843380583383e-04      -1.693691755800e+00      -1.274825968891e+00      -1.274863921954e+00      -1.274863318071e+00       0.000000000000e+00      -1.692991018950e+00      -1.286987537226e+00       6.092054028265e-01       5.946829304589e-01       1.313265000010e-04       1.448583522115e-04       1.448702451410e-04       1.448701646780e-04                      nan       1.305055692095e-04       1.443371857688e-04 
       1.048788822492e-03      -1.712072125585e+00      -1.289911540276e+00      -1.289960463083e+00      -1.289959684818e+00       0.000000000000e+00      -1.711174934451e+00      -1.302175168766e+00       6.087849058353e-01       5.943994820937e-01       1.470234073791e-04       1.643915949890e-04       1.644069213931e-04       1.644068176950e-04                      nan       1.459797572711e-04       1.637228820945e-04 
       1.116778986862e-03      -1.732452541824e+00      -1.306848498888e+00      -1.306910898865e+00      -1.306909898302e+00       0.000000000000e+00      -1.731308429951e+00      -1.319219932627e+00       6.083143254344e-01       5.940818578713e-01       1.640965842568e-04       1.863239162629e-04       1.863434012048e-04       1.863432678873e-04                      nan       1.627760005328e-04       1.854682472451e-04 
       1.188277341593e-03      -1.754931994694e+00      -1.325790597063e+00      -1.325871067892e+00      -1.325869785424e+00       0.000000000000e+00      -1.753476827875e+00      -1.338275525073e+00       6.077890185487e-01       5.937263694284e-01       1.825095570096e-04       2.108525949343e-04       2.108777786950e-04       2.108776078158e-04                      nan       1.808455271474e-04       2.097620768837e-04 
       1.263217364035e-03      -1.779573801744e+00      -1.346884241666e+00      -1.346987210377e+00      -1.346985582316e+00       0.000000000000e+00      -1.777732196973e+00      -1.359485676493e+00       6.072061629646e-01       5.933311840779e-01       2.021792565988e-04       2.381701949617e-04       2.382024286710e-04       2.382022119540e-04                      nan       2.000950528246e-04       2.367860742983e-04 
       1.341500403710e-03      -1.806410190465e+00      -1.370266009495e+00      -1.370396950945e+00      -1.370395293633e+00       0.000000000000e+00      -1.804094282318e+00      -1.382984641949e+00       6.065598460715e-01       5.928915544009e-01       2.229722339932e-04       2.684583001453e-04       2.684992243517e-04       2.684990113551e-04                      nan       2.203815962705e-04       2.667098500351e-04 
       1.423000229794e-03      -1.835445016410e+00      -1.396069697171e+00      -1.396233673391e+00      -1.396231988374e+00       0.000000000000e+00      -1.832551287827e+00      -1.408901931872e+00       6.058508231316e-01       5.924083314926e-01       2.447020600074e-04       3.018885389947e-04       3.019393687664e-04       3.019391593284e-04                      nan       2.415060991565e-04       2.996907897324e-04 
       1.507568477172e-03      -1.866662444466e+00      -1.424416096808e+00      -1.424625458094e+00      -1.424623746712e+00       0.000000000000e+00      -1.863060730419e+00      -1.437359977177e+00       6.050740086048e-01       5.918766835991e-01       2.671300677655e-04       3.386121171955e-04       3.386774515056e-04       3.386772454450e-04                      nan       2.632116975022e-04       3.358676130403e-04 
       1.595040487038e-03      -1.899972272062e+00      -1.455411110561e+00      -1.455673369002e+00      -1.455671632427e+00       0.000000000000e+00      -1.895523446735e+00      -1.468454964653e+00       6.042301360965e-01       5.912977595512e-01       2.899571393108e-04       3.787730739365e-04       3.788548267069e-04       3.788546238325e-04                      nan       2.851958053874e-04       3.753651867367e-04 
       1.685241074673e-03      -1.935269434951e+00      -1.489149019451e+00      -1.489475105709e+00      -1.489473344972e+00       0.000000000000e+00      -1.929812213702e+00      -1.502277909633e+00       6.033171047063e-01       5.906693826897e-01       3.128366239323e-04       4.224933536453e-04       4.225948014268e-04       4.225946015443e-04                      nan       3.071014877687e-04       4.182884557098e-04 
       1.777989849548e-03      -1.972410932526e+00      -1.525710932313e+00      -1.526115416253e+00      -1.526113632269e+00       0.000000000000e+00      -1.965761462047e+00      -1.538906111750e+00       6.023333661487e-01       5.899897522183e-01       3.353736407966e-04       4.698782224823e-04       4.700040240842e-04       4.700038270016e-04                      nan       3.285268850024e-04       4.647245465330e-04 
       1.873105833077e-03      -2.011212016286e+00      -1.565165413367e+00      -1.565664302939e+00      -1.565662496531e+00       0.000000000000e+00      -2.003167664455e+00      -1.578401738497e+00       6.012787394397e-01       5.892582767998e-01       3.571309967901e-04       5.210184710483e-04       5.211735951003e-04       5.211734006313e-04                      nan       3.490343376178e-04       5.147442848470e-04 
       1.970411240942e-03      -2.051456225493e+00      -1.607569314964e+00      -1.608180551505e+00      -1.608178723417e+00       0.000000000000e+00      -2.041795756441e+00      -1.620815069851e+00       6.001533238513e-01       5.884744388187e-01       3.776375103529e-04       5.759893022911e-04       5.761792535846e-04       5.761790615512e-04                      nan       3.681569375383e-04       5.684024604682e-04 
       2.069734400901e-03      -2.092895660799e+00      -1.652968629465e+00      -1.653711271883e+00      -1.653709422798e+00       0.000000000000e+00      -2.081381832291e+00      -1.666184298196e+00       5.989579698855e-01       5.876382880485e-01       3.963966266500e-04       6.348524640123e-04       6.350828564311e-04       6.350826666649e-04                      nan       3.854092831963e-04       6.257397163379e-04 
