# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       3.620799935012e-01      -5.189052515165e-02      -2.651002276622e+02      -3.740318026108e+02       0.000000000000e+00      -5.186296092285e-02      -3.458110124818e+02       1.296574023071e-02       1.296574023071e-02      -2.011574160174e-06       4.272942369545e-01       4.452107636380e-01                      nan      -1.967081917628e-06       4.253402184587e-01 
       3.651810034666e-01      -5.126954906667e-02      -2.670483879370e+02      -3.757934288962e+02       0.000000000000e+00      -5.124230326828e-02      -3.475513332132e+02       1.281057581707e-02       1.281057581707e-02      -1.986727421707e-06       4.296234973360e-01       4.474188080862e-01                      nan      -1.942732445082e-06       4.274829166855e-01 
       3.682820138325e-01      -5.065902949773e-02      -2.689528615333e+02      -3.775400678430e+02       0.000000000000e+00      -5.063209793262e-02      -3.492725216121e+02       1.265802448315e-02       1.265802448315e-02      -1.962400418791e-06       4.319114761896e-01       4.496026791917e-01                      nan      -1.918897918800e-06       4.295996628109e-01 
       3.713830245890e-01      -5.005603081627e-02      -2.707485218983e+02      -3.792602115679e+02       0.000000000000e+00      -5.002941161159e-02      -3.509548471218e+02       1.250735290290e-02       1.250735290290e-02      -1.938527971542e-06       4.341215100359e-01       4.517405810507e-01                      nan      -1.895518029411e-06       4.316671453273e-01 
       3.744840357261e-01      -4.945819549492e-02      -2.723831662908e+02      -3.809431323536e+02       0.000000000000e+00      -4.943188853583e-02      -3.525812745570e+02       1.235797213396e-02       1.235797213396e-02      -1.915067821559e-06       4.362238413102e-01       4.538136269697e-01                      nan      -1.872554095898e-06       4.336654822617e-01 
       3.775850472346e-01      -4.886401550254e-02      -2.738221258080e+02      -3.825813415260e+02       0.000000000000e+00      -4.883802168772e-02      -3.541401949949e+02       1.220950542193e-02       1.220950542193e-02      -1.891974723671e-06       4.381993477683e-01       4.558088131120e-01                      nan      -1.849962819898e-06       4.355812004621e-01 
       3.806860591053e-01      -4.827255665669e-02      -2.750485176752e+02      -3.841690033273e+02       0.000000000000e+00      -4.824687731572e-02      -3.556241789693e+02       1.206171932893e-02       1.206171932893e-02      -1.869195006372e-06       4.400377659476e-01       4.577169875194e-01                      nan      -1.827691129775e-06       4.374053225611e-01 
       3.837870713295e-01      -4.768362024293e-02      -2.760642692354e+02      -3.857034336458e+02       0.000000000000e+00      -4.765825650713e-02      -3.570313560143e+02       1.191456412678e-02       1.191456412678e-02      -1.846684450456e-06       4.417392941318e-01       4.595348369970e-01                      nan      -1.805694041952e-06       4.391352171424e-01 
       3.868880838984e-01      -4.709778226523e-02      -2.768891908323e+02      -3.871857852614e+02       0.000000000000e+00      -4.707273446615e-02      -3.583658227631e+02       1.176818361654e-02       1.176818361654e-02      -1.824414935899e-06       4.433149830951e-01       4.612659143616e-01                      nan      -1.783941423103e-06       4.407754860772e-01 
       3.899890968040e-01      -4.651640408177e-02      -2.775591326268e+02      -3.886215675116e+02       0.000000000000e+00      -4.649167120486e-02      -3.596377705062e+02       1.162291780121e-02       1.162291780121e-02      -1.802388122726e-06       4.447866036779e-01       4.629214360012e-01                      nan      -1.762431849321e-06       4.423385845790e-01 
       3.930901100382e-01      -4.594149219118e-02      -2.781219736731e+02      -3.900205183785e+02       0.000000000000e+00      -4.591707147374e-02      -3.608627413577e+02       1.147926786843e-02       1.147926786843e-02      -1.780634919177e-06       4.461848142718e-01       4.645196758432e-01                      nan      -1.741192409119e-06       4.438440445249e-01 
       3.961911235933e-01      -4.537533459558e-02      -2.786315510441e+02      -3.913949547228e+02       0.000000000000e+00      -4.535122138820e-02      -3.620593208001e+02       1.133780534705e-02       1.133780534705e-02      -1.759199275498e-06       4.475448829107e-01       4.660830121915e-01                      nan      -1.720263025279e-06       4.453154249429e-01 
       3.992921374617e-01      -4.482008258025e-02      -2.791419298181e+02      -3.927573993380e+02       0.000000000000e+00      -4.479627048633e-02      -3.632462977991e+02       1.119906762158e-02       1.119906762158e-02      -1.738125519872e-06       4.489016854538e-01       4.676339993678e-01                      nan      -1.699684321670e-06       4.467763643415e-01 
       4.023931516362e-01      -4.427740076510e-02      -2.797013970954e+02      -3.941185199978e+02       0.000000000000e+00      -4.425388202199e-02      -3.644400340476e+02       1.106347050550e-02       1.106347050550e-02      -1.717451184516e-06       4.502849191766e-01       4.691917566930e-01                      nan      -1.679490920802e-06       4.482469221243e-01 
       4.054941661097e-01      -4.374826203679e-02      -2.803476517927e+02      -3.954857555584e+02       0.000000000000e+00      -4.372502803414e-02      -3.656525815372e+02       1.093125700853e-02       1.093125700853e-02      -1.697189229008e-06       4.517159095706e-01       4.707695922485e-01                      nan      -1.659693929888e-06       4.497411641759e-01 
       4.085951808755e-01      -4.323300889572e-02      -2.811062700183e+02      -3.968633857367e+02       0.000000000000e+00      -4.321005066910e-02      -3.668914942957e+02       1.080251266728e-02       1.080251266728e-02      -1.677335870072e-06       4.532073557790e-01       4.723751563539e-01                      nan      -1.640288742402e-06       4.512672459758e-01 
