# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   67       1.878339199446e+03       2.989858679694e-01       1.325027097394e-03      -4.766793272480e+00       1.245593353783e-07       6.221139362527e-04      -2.038058727235e-06 
   68       1.903456193819e+03       3.118394241246e-01       1.364984690056e-03      -5.198716292174e+00       1.238468063148e-07       6.123492098918e-04      -2.028308468587e-06 
   69       1.928813571664e+03       3.249301604351e-01       1.405532131037e-03      -5.643612968394e+00       1.231189844118e-07       6.027624280566e-04      -2.015779850703e-06 
   70       1.954420714669e+03       3.382520739799e-01       1.446669899331e-03      -6.101284561636e+00       1.223877702747e-07       5.933970484463e-04      -2.000951849707e-06 
   71       1.980283383565e+03       3.517988345386e-01       1.488398585905e-03      -6.571513174172e+00       1.216620899848e-07       5.842835753649e-04      -1.984386549994e-06 
   72       2.006403482459e+03       3.655637840155e-01       1.530718899012e-03      -7.054061613996e+00       1.209472083461e-07       5.754378731666e-04      -1.966734312848e-06 
   73       2.032778823147e+03       3.795399358651e-01       1.573631669494e-03      -7.548673258774e+00       1.202439897065e-07       5.668594189816e-04      -1.948739071956e-06 
   74       2.059402889447e+03       3.937199745166e-01       1.617137856092e-03      -8.055071919790e+00       1.195481048408e-07       5.585294947236e-04      -1.931243755829e-06 
   75       2.086264601515e+03       4.080962547985e-01       1.661238550758e-03      -8.572961705896e+00       1.188491823838e-07       5.504093183778e-04      -1.915195837114e-06 
   76       2.113353196772e+03       4.226604641747e-01       1.705934912255e-03      -9.102038398900e+00       1.181353991449e-07       5.424565107886e-04      -1.901492315752e-06 
   77       2.140674421197e+03       4.374025396129e-01       1.751227941272e-03      -9.642026275298e+00       1.174113481189e-07       5.346841415517e-04      -1.890452365351e-06 
   78       2.168236876136e+03       4.523115512393e-01       1.797118673751e-03      -1.019264778318e+01       1.166849421334e-07       5.271142383413e-04      -1.882211449922e-06 
   79       2.196047034991e+03       4.673760146371e-01       1.843608252737e-03      -1.075361272485e+01       1.159620971875e-07       5.197598459097e-04      -1.876865652502e-06 
   80       2.224109112471e+03       4.825838833571e-01       1.890697932209e-03      -1.132461835682e+01       1.152463325333e-07       5.126240446672e-04      -1.874467456437e-06 
   81       2.252424933830e+03       4.979225414284e-01       1.938389080919e-03      -1.190534948983e+01       1.145383435604e-07       5.056989381300e-04      -1.875021395116e-06 
   82       2.280993804114e+03       5.133787958684e-01       1.986683186232e-03      -1.249547858883e+01       1.138355467800e-07       4.989646092364e-04      -1.878479570153e-06 
   83       2.309812377404e+03       5.289388691939e-01       2.035581857965e-03      -1.309466587299e+01       1.131315962055e-07       4.923880455311e-04      -1.884737038025e-06 
   84       2.338876849325e+03       5.445888448298e-01       2.085086809178e-03      -1.370255485644e+01       1.124194301011e-07       4.859351586807e-04      -1.893619921040e-06 
   85       2.368190238619e+03       5.603161045833e-01       2.135199786494e-03      -1.431875790222e+01       1.117027792792e-07       4.796127961518e-04      -1.904857045234e-06 
   86       2.397756078585e+03       5.761081168487e-01       2.185922635211e-03      -1.494286844572e+01       1.109874811857e-07       4.734350995855e-04      -1.918092607470e-06 
   87       2.427576110775e+03       5.919520050173e-01       2.237257324721e-03      -1.557446536397e+01       1.102780165886e-07       4.674107675877e-04      -1.932887315881e-06 
   88       2.457650193286e+03       6.078345475996e-01       2.289205951959e-03      -1.621311299904e+01       1.095772660748e-07       4.615425183817e-04      -1.948712741498e-06 
   89       2.487976209052e+03       6.237421783474e-01       2.341770744854e-03      -1.685836118144e+01       1.088862515731e-07       4.558265369929e-04      -1.964945529800e-06 
   90       2.518549974135e+03       6.396609863760e-01       2.394954065781e-03      -1.750974525343e+01       1.082038625556e-07       4.502519069666e-04      -1.980861472202e-06 
   91       2.549365146011e+03       6.555767162869e-01       2.448758415012e-03      -1.816678609245e+01       1.075265665629e-07       4.448000266163e-04      -1.995629437448e-06 
   92       2.580413131863e+03       6.714747682892e-01       2.503186434163e-03      -1.882899013448e+01       1.068481037061e-07       4.394440098058e-04      -2.008305162953e-06 
   93       2.611685660208e+03       6.873404450013e-01       2.558240987022e-03      -1.949585840208e+01       1.061620639328e-07       4.341580270110e-04      -2.018044769427e-06 
   94       2.643183137403e+03       7.031597340465e-01       2.613925408420e-03      -2.016691509106e+01       1.054712541313e-07       4.289491254010e-04      -2.024814905092e-06 
   95       2.674907384242e+03       7.189186439336e-01       2.670243299341e-03      -2.084168334650e+01       1.047805192808e-07       4.238314226696e-04      -2.028830469702e-06 
   96       2.706859030196e+03       7.346029713268e-01       2.727198457341e-03      -2.151967678614e+01       1.040939595322e-07       4.188165342749e-04      -2.030351039721e-06 
   97       2.739037458259e+03       7.501983045539e-01       2.784794881058e-03      -2.220039964734e+01       1.034147989232e-07       4.139133244103e-04      -2.029683400836e-06 
   98       2.771440749800e+03       7.656900271154e-01       2.843036774729e-03      -2.288334693409e+01       1.027452466434e-07       4.091276502761e-04      -2.027184134083e-06 
   99       2.804065629413e+03       7.810633211921e-01       2.901928552698e-03      -2.356800456400e+01       1.020863506888e-07       4.044620996533e-04      -2.023262255558e-06 
  100       2.836907409761e+03       7.963031711537e-01       2.961474843931e-03      -2.425384951523e+01       1.014378437460e-07       3.999157217800e-04      -2.018381909737e-06 
  101       2.869959936434e+03       8.113943670674e-01       3.021680496531e-03      -2.494034997352e+01       1.007979811469e-07       3.954837515289e-04      -2.013065116391e-06 
