# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.286372999182e-02       4.757441323615e+00 
       1.298809434267e-02       4.766417050577e+00 
       1.311249457272e-02       4.774952796516e+00 
       1.323693073542e-02       4.783054066517e+00 
       1.336140290784e-02       4.790722810928e+00 
       1.348591119034e-02       4.797973466080e+00 
       1.361045570605e-02       4.804801316627e+00 
       1.373503660061e-02       4.811213197922e+00 
       1.385965404174e-02       4.817218598892e+00 
       1.398430821901e-02       4.822820016086e+00 
       1.410899934352e-02       4.828020604544e+00 
       1.423372764771e-02       4.832832109821e+00 
       1.435849338511e-02       4.837253602601e+00 
       1.448329683018e-02       4.841292906774e+00 
       1.460813827812e-02       4.844953410164e+00 
       1.473301804481e-02       4.848239792065e+00 
       1.485793646664e-02       4.851156916493e+00 
       1.498289390044e-02       4.853712951617e+00 
       1.510789072347e-02       4.855909774454e+00 
       1.523292733332e-02       4.857753880829e+00 
       1.535800414793e-02       4.859247427027e+00 
       1.548312160558e-02       4.860394740700e+00 
       1.560828016494e-02       4.861207124973e+00 
       1.573348030509e-02       4.861677543266e+00 
       1.585872252561e-02       4.861831350902e+00 
       1.598400734663e-02       4.861650392830e+00 
       1.610933530897e-02       4.861150866243e+00 
       1.623470697422e-02       4.860333410384e+00 
       1.636012292492e-02       4.859213102117e+00 
       1.648558376469e-02       4.857775607241e+00 
       1.661109011841e-02       4.856037637874e+00 
       1.673664263240e-02       4.854004589513e+00 
       1.686224197463e-02       4.851675912677e+00 
       1.698788883495e-02       4.849054801174e+00 
       1.711358392534e-02       4.846158184237e+00 
       1.723932798012e-02       4.842966368821e+00 
       1.736512175629e-02       4.839521403827e+00 
       1.749096603375e-02       4.835787090718e+00 
       1.761686161566e-02       4.831793160881e+00 
       1.774280932873e-02       4.827525144383e+00 
       1.786881002356e-02       4.823006384734e+00 
       1.799486457501e-02       4.818232432160e+00 
       1.812097388257e-02       4.813204765495e+00 
       1.824713887072e-02       4.807933376015e+00 
       1.837336048938e-02       4.802414261482e+00 
       1.849963971429e-02       4.796656939727e+00 
       1.862597754748e-02       4.790663233664e+00 
       1.875237501771e-02       4.784441720204e+00 
       1.887883318094e-02       4.777979618840e+00 
