# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       2.164984592990e-04      -1.557816486692e+00      -1.168373250443e+00      -1.168373339377e+00       0.000000000000e+00      -1.557814792676e+00      -1.179659685234e+00       6.121956472409e-01       5.966889714750e-01       6.992274324641e-06       7.024903069722e-06       7.024931168200e-06                      nan       6.990194458192e-06       7.023644369251e-06 
       2.334344144703e-04      -1.558990177772e+00      -1.169257355115e+00      -1.169257475600e+00       0.000000000000e+00      -1.558987888177e+00      -1.180552200903e+00       6.121697116293e-01       5.966714623515e-01       8.122672141280e-06       8.166783858748e-06       8.166821874562e-06                      nan       8.119862611250e-06       8.165082245243e-06 
       2.510706081373e-04      -1.560291578102e+00      -1.170238310700e+00      -1.170238468027e+00       0.000000000000e+00      -1.560288524949e+00      -1.181542464089e+00       6.121441106789e-01       5.966550217378e-01       9.388357448035e-06       9.447234104268e-06       9.447283962590e-06                      nan       9.384607546934e-06       9.444962223449e-06 
       2.694812277303e-04      -1.561762111149e+00      -1.171347631469e+00      -1.171347840420e+00       0.000000000000e+00      -1.561758060747e+00      -1.182662283161e+00       6.121123421093e-01       5.966337705656e-01       1.080512444946e-05       1.088325070678e-05       1.088331696881e-05                      nan       1.080015216310e-05       1.088023617860e-05 
       2.887471433953e-04      -1.563412227311e+00      -1.172593514289e+00      -1.172593790809e+00       0.000000000000e+00      -1.563406888681e+00      -1.183919920563e+00       6.120763387971e-01       5.966095941912e-01       1.239166959974e-05       1.249464866402e-05       1.249473631899e-05                      nan       1.238512074705e-05       1.249067551532e-05 
       3.089565513139e-04      -1.565260318100e+00      -1.173990232669e+00      -1.173990594597e+00       0.000000000000e+00      -1.565253326069e+00      -1.185329769801e+00       6.120367507080e-01       5.965832152869e-01       1.416948700403e-05       1.430439431502e-05       1.430450906883e-05                      nan       1.416091443403e-05       1.429918934985e-05 
       3.302056182976e-04      -1.567334974303e+00      -1.175559902522e+00      -1.175560373580e+00       0.000000000000e+00      -1.567325860090e+00      -1.186914137985e+00       6.119924711785e-01       5.965537612681e-01       1.616318111628e-05       1.633909408230e-05       1.633924347967e-05                      nan       1.615201275548e-05       1.633230701025e-05 
       3.525991041420e-04      -1.569670386884e+00      -1.177329059006e+00      -1.177329671314e+00       0.000000000000e+00      -1.569658546272e+00      -1.188699787353e+00       6.119419199398e-01       5.965199478750e-01       1.840097524994e-05       1.862959677170e-05       1.862979087575e-05                      nan       1.838647726817e-05       1.862077631477e-05 
       3.762509287930e-04      -1.572298669924e+00      -1.179322849790e+00      -1.179323645363e+00       0.000000000000e+00      -1.572283328157e+00      -1.190712073477e+00       6.118851503770e-01       5.964820142813e-01       2.091547051821e-05       2.121172591462e-05       2.121197821124e-05                      nan       2.089670342889e-05       2.120029700211e-05 
       4.012846398372e-04      -1.575263021300e+00      -1.181575143783e+00      -1.181576172880e+00       0.000000000000e+00      -1.575243189875e+00      -1.192985139782e+00       6.118206468517e-01       5.964387958972e-01       2.374382750875e-05       2.412697414576e-05       2.412730035753e-05                      nan       2.371959237042e-05       2.411219365247e-05 
       4.278337222871e-04      -1.578608012930e+00      -1.184121179042e+00      -1.184122508474e+00       0.000000000000e+00      -1.578582417344e+00      -1.195554504874e+00       6.117479912321e-01       5.963901670984e-01       2.692869414768e-05       2.742343776559e-05       2.742385908399e-05                      nan       2.689744972791e-05       2.740435309028e-05 
       4.560416775835e-04      -1.582387203074e+00      -1.187003697785e+00      -1.187005337470e+00       0.000000000000e+00      -1.582354324460e+00      -1.198463175366e+00       6.116660602496e-01       5.963354467177e-01       3.051841827909e-05       3.115676463403e-05       3.115726947605e-05                      nan       3.047828828596e-05       3.113211221211e-05 
       4.860617833145e-04      -1.586665643609e+00      -1.190274252506e+00      -1.190276412762e+00       0.000000000000e+00      -1.586623204297e+00      -1.201763248602e+00       6.115727210436e-01       5.962728894990e-01       3.456797945586e-05       3.539098537514e-05       3.539166043915e-05                      nan       3.451627953781e-05       3.535922159145e-05 
       5.180564313506e-04      -1.591509443775e+00      -1.193987056234e+00      -1.193989706624e+00       0.000000000000e+00      -1.591454994506e+00      -1.205509084980e+00       6.114673934214e-01       5.962025255754e-01       3.913888772057e-05       4.020010042062e-05       4.020090555926e-05                      nan       3.907257515085e-05       4.015909608585e-05 
       5.521959330390e-04      -1.597007471905e+00      -1.198212647496e+00      -1.198216464117e+00       0.000000000000e+00      -1.596936651938e+00      -1.209772304911e+00       6.113462526693e-01       5.961209414639e-01       4.430049481358e-05       4.566822496918e-05       4.566945199269e-05                      nan       4.421467113553e-05       4.561552363503e-05 
       5.886566801031e-04      -1.603238887077e+00      -1.203019155939e+00      -1.203023985855e+00       0.000000000000e+00      -1.603147779791e+00      -1.214620690230e+00       6.112096328419e-01       5.960294002094e-01       5.012809092438e-05       5.189235458738e-05       5.189389118385e-05                      nan       5.001785365436e-05       5.182434426211e-05 
       6.276185643138e-04      -1.610309393943e+00      -1.208493866152e+00      -1.208500052402e+00       0.000000000000e+00      -1.610192037037e+00      -1.220142437578e+00       6.110540352143e-01       5.959250325097e-01       5.670482847407e-05       5.898142049489e-05       5.898338208545e-05                      nan       5.656313489916e-05       5.889365214167e-05 
       6.692615934693e-04      -1.618331607456e+00      -1.214732289421e+00      -1.214740481246e+00       0.000000000000e+00      -1.618179934535e+00      -1.226433777461e+00       6.108765021567e-01       5.958056895196e-01       6.411957807795e-05       6.705808231960e-05       6.706070276618e-05                      nan       6.393710654869e-05       6.694487328853e-05 
       7.137617003222e-04      -1.627421374875e+00      -1.221837411490e+00      -1.221847786721e+00       0.000000000000e+00      -1.627226144013e+00      -1.233597671912e+00       6.106751957837e-01       5.956705720354e-01       7.246493380864e-05       7.625953178134e-05       7.626282356757e-05                      nan       7.223064502463e-05       7.611328782184e-05 
       7.612858261435e-04      -1.637712914639e+00      -1.229927754233e+00      -1.229941158100e+00       0.000000000000e+00      -1.637461169838e+00      -1.241753595266e+00       6.104460192367e-01       5.955165024972e-01       8.183621143070e-05       8.673629245127e-05       8.674053598225e-05                      nan       8.153520024813e-05       8.654746128367e-05 
       8.119864671933e-04      -1.649343356486e+00      -1.239130229126e+00      -1.239147753038e+00       0.000000000000e+00      -1.649018559856e+00      -1.251028912463e+00       6.101854485311e-01       5.953410553927e-01       9.232683636645e-05       9.865263429863e-05       9.865821530465e-05                      nan       9.194020152167e-05       9.840897446090e-05 
       8.659959882004e-04      -1.662450685127e+00      -1.249579549688e+00      -1.249602127927e+00       0.000000000000e+00      -1.662032505969e+00      -1.261558259396e+00       6.098904528679e-01       5.951423833425e-01       1.040240807840e-04       1.121854900776e-04       1.121926598050e-04                      nan       1.035286075651e-04       1.118711531153e-04 
       9.234211115549e-04      -1.677176521556e+00      -1.261420170910e+00      -1.261448949157e+00       0.000000000000e+00      -1.676639368051e+00      -1.273486118143e+00       6.095571311226e-01       5.949177739412e-01       1.170039928753e-04       1.275219325503e-04       1.275310185375e-04                      nan       1.163707202134e-04       1.271167923691e-04 
       9.843380583383e-04      -1.693663480073e+00      -1.274804322588e+00      -1.274841658774e+00       0.000000000000e+00      -1.692973653263e+00      -1.286965327472e+00       6.091805351861e-01       5.946634137904e-01       1.313253150656e-04       1.448562678717e-04       1.448680761946e-04                      nan       1.305172233122e-04       1.443352686972e-04 
       1.048788822492e-03      -1.712036238417e+00      -1.289884089921e+00      -1.289932223966e+00       0.000000000000e+00      -1.711153001404e+00      -1.302146999165e+00       6.087574564261e-01       5.943773132588e-01       1.470213962945e-04       1.643884728447e-04       1.644036925107e-04                      nan       1.459940551602e-04       1.637199718129e-04 
       1.116778986862e-03      -1.732407476291e+00      -1.306813971810e+00      -1.306875364478e+00       0.000000000000e+00      -1.731281158057e+00      -1.319184493538e+00       6.082841171288e-01       5.940568409470e-01       1.640936393088e-04       1.863194514079e-04       1.863388019429e-04                      nan       1.627936869024e-04       1.854640552783e-04 
       1.188277341593e-03      -1.754876646594e+00      -1.325748169420e+00      -1.325827342421e+00       0.000000000000e+00      -1.753444105077e+00      -1.338231937881e+00       6.077556546085e-01       5.936981047399e-01       1.825053034194e-04       2.108463548264e-04       2.108713629827e-04                      nan       1.808672597569e-04       2.097561781795e-04 
       1.263217364035e-03      -1.779507125302e+00      -1.346833074599e+00      -1.346934395410e+00       0.000000000000e+00      -1.777694034741e+00      -1.359433060541e+00       6.071694297358e-01       5.932994219087e-01       2.021733300198e-04       2.381616818381e-04       2.381936922633e-04                      nan       2.001215275286e-04       2.367779875753e-04 
       1.341500403710e-03      -1.806342714306e+00      -1.370214298736e+00      -1.370343566615e+00       0.000000000000e+00      -1.804057885749e+00      -1.382931484444e+00       6.065256690181e-01       5.928613248000e-01       2.229652201133e-04       2.684487487631e-04       2.684894554393e-04                      nan       2.204092312738e-04       2.667007629606e-04 
