# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       2.887471433953e-04      -1.316108907490e-02      -9.905171966353e-03      -9.905453371436e-03       0.000000000000e+00      -1.315566533763e-02      -9.999695197694e-03       6.120845304348e-01       5.966118445410e-01      -1.030892695030e-07      -8.836882294585e-11                      nan      -1.097428865458e-07      -4.063418367525e-09 
       3.089565513139e-04      -1.505973028975e-02      -1.133981758132e-02      -1.134018642869e-02       0.000000000000e+00      -1.505262540799e-02      -1.144783882404e-02       6.120448224061e-01       5.965853821577e-01      -1.350731252850e-07      -1.158250707833e-10                      nan      -1.437837973707e-07      -5.324002802720e-09 
       3.302056182976e-04      -1.719206727945e-02      -1.295277676166e-02      -1.295325802792e-02       0.000000000000e+00      -1.718280302097e-02      -1.307591563953e-02       6.120001913412e-01       5.965556332402e-01      -1.761706448614e-07      -1.511218505289e-10                      nan      -1.875209610357e-07      -6.943732410754e-09 
       3.525991041420e-04      -1.958958633847e-02      -1.476851788502e-02      -1.476914358611e-02       0.000000000000e+00      -1.957755073390e-02      -1.490860153459e-02       6.119499620555e-01       5.965221481226e-01      -2.289358051666e-07      -1.964690472415e-10                      nan      -2.436701192721e-07      -9.023231184968e-09 
       3.762509287930e-04      -2.228865685309e-02      -1.681542036628e-02      -1.681623159815e-02       0.000000000000e+00      -2.227306561976e-02      -1.697451280676e-02       6.118933567299e-01       5.964844042949e-01      -2.966648684420e-07      -2.547153889723e-10                      nan      -3.157354484936e-07      -1.169235428902e-08 
       4.012846398372e-04      -2.533124320881e-02      -1.912638414162e-02      -1.912743376127e-02       0.000000000000e+00      -2.531108930432e-02      -1.930681899206e-02       6.118294717511e-01       5.964417969911e-01      -3.836213147518e-07      -3.295510453075e-10                      nan      -4.082485073714e-07      -1.511904779399e-08 
       4.278337222871e-04      -2.876568465416e-02      -2.173951365807e-02      -2.174086981649e-02       0.000000000000e+00      -2.873967270437e-02      -2.194393014514e-02       6.117572633308e-01       5.963936263826e-01      -4.953303754658e-07      -4.257741051906e-10                      nan      -5.270803990718e-07      -1.952093876579e-08 
       4.560416775835e-04      -3.264753063369e-02      -2.469887399582e-02      -2.470062469408e-02       0.000000000000e+00      -3.261399159761e-02      -2.493025585338e-02       6.116755258083e-01       5.963390825506e-01      -6.389633231107e-07      -5.496105850133e-10                      nan      -6.798490697087e-07      -2.518045307056e-08 
       4.860617833145e-04      -3.704040835757e-02      -2.805530990822e-02      -2.805756906081e-02       0.000000000000e+00      -3.699718819487e-02      -2.831702659830e-02       6.115828673388e-01       5.962772321592e-01      -8.238367925869e-07      -7.091885892305e-10                      nan      -8.764485574626e-07      -3.246446819188e-08 
       5.180564313506e-04      -4.201688332841e-02      -3.186731043110e-02      -3.187022565053e-02       0.000000000000e+00      -4.196119896135e-02      -3.216315925595e-02       6.114776950031e-01       5.962070026344e-01      -1.062059997455e-06      -9.150726355559e-10                      nan      -1.129733463869e-06      -4.184975032372e-08 
       5.521959330389e-04      -4.765925770439e-02      -3.620188925131e-02      -3.620565207385e-02       0.000000000000e+00      -4.758751037739e-02      -3.653613656500e-02       6.113581856651e-01       5.961271654682e-01      -1.369365698005e-06      -1.181031595293e-09                      nan      -1.456397860111e-06      -5.395562793864e-08 
       5.886566801031e-04      -5.406022774631e-02      -4.113543767187e-02      -4.114029691021e-02       0.000000000000e+00      -5.396776214832e-02      -4.151285632050e-02       6.112222644168e-01       5.960363224571e-01      -1.766169074618e-06      -1.525020314429e-09                      nan      -1.878094400578e-06      -6.958561381852e-08 
       6.276185643138e-04      -6.132329691773e-02      -4.675449068401e-02      -4.676076955214e-02       0.000000000000e+00      -6.120409370351e-02      -4.718038948848e-02       6.110675913247e-01       5.959328903563e-01      -2.278904127426e-06      -1.970342376004e-09                      nan      -2.422842854231e-06      -8.977986304846e-08 
       6.692615934693e-04      -6.956282183388e-02      -5.315633052075e-02      -5.316444852306e-02       0.000000000000e+00      -6.940910680810e-02      -5.363657047849e-02       6.108915457043e-01       5.958150931828e-01      -2.941683824677e-06      -2.547157944384e-09                      nan      -3.126779207885e-06      -1.158803390265e-07 
       7.137617003222e-04      -7.890354921621e-02      -6.044933747087e-02      -6.045983883192e-02       0.000000000000e+00      -7.870530084006e-02      -6.099032847409e-02       6.106912192814e-01       5.956809551435e-01      -3.798330266218e-06      -3.294515350171e-09                      nan      -4.036289983483e-06      -1.496104609947e-07 
       7.612858261435e-04      -8.947949344149e-02      -6.875299327873e-02      -6.876658241560e-02       0.000000000000e+00      -8.922383177828e-02      -6.936166251496e-02       6.104634240131e-01       5.955283026897e-01      -4.904810642658e-06      -4.262549782843e-09                      nan      -5.210565628226e-06      -1.931705160375e-07 
       8.119864671932e-04      -1.014320225309e-01      -7.819744370156e-02      -7.821502904427e-02       0.000000000000e+00      -1.011024617277e-01      -7.888116641942e-02       6.102047109268e-01       5.953547732694e-01      -6.332090238471e-06      -5.515050499918e-09                      nan      -6.724580852129e-06      -2.493492450893e-07 
