# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   41       1.301661049859e+03       6.483059752065e-02       0.000000000000e+00       1.693645695385e+00       1.396522392871e-07       1.021865845045e-03      -7.874392779465e-07 
   42       1.321243295862e+03       7.024427675147e-02       0.000000000000e+00       1.606075016460e+00       1.393168265124e-07       9.987760373868e-04      -7.920504892871e-07 
   43       1.340956278955e+03       7.593536287542e-02       0.000000000000e+00       1.508428679051e+00       1.389175907009e-07       9.765973767226e-04      -8.298540527684e-07 
   44       1.360831455769e+03       8.190877870197e-02       0.000000000000e+00       1.400262446933e+00       1.384827635717e-07       9.554358669043e-04      -8.965540635499e-07 
   45       1.380911256872e+03       8.816981720917e-02       0.000000000000e+00       1.280798861973e+00       1.380458964222e-07       9.353675557207e-04      -9.825860204410e-07 
   46       1.401220596023e+03       9.472363882249e-02       0.000000000000e+00       1.149149523548e+00       1.376167611588e-07       9.162813411686e-04      -1.074759235433e-06 
   47       1.421765022929e+03       1.015752687247e-01       0.000000000000e+00       1.004307774714e+00       1.371737310219e-07       8.978465337702e-04      -1.155819593532e-06 
   48       1.442537444585e+03       1.087289930675e-01       0.000000000000e+00       8.453581702704e-01       1.366775899207e-07       8.796475735006e-04      -1.209227407817e-06 
   49       1.463544839946e+03       1.161863526216e-01       0.000000000000e+00       6.721917692381e-01       1.361442148354e-07       8.617400801476e-04      -1.237029571293e-06 
   50       1.484785902032e+03       1.239475789393e-01       0.000000000000e+00       4.849799085891e-01       1.355970691336e-07       8.442678201422e-04      -1.248654909833e-06 
   51       1.506241751476e+03       1.320121135360e-01       0.000000000000e+00       2.839786799624e-01       1.350444113015e-07       8.273014946790e-04      -1.256619223924e-06 
   52       1.527874526459e+03       1.403785745318e-01       0.000000000000e+00       6.953267613286e-02       1.344749135338e-07       8.108257047844e-04      -1.276857143609e-06 
   53       1.549644354943e+03       1.490455406950e-01       0.000000000000e+00      -1.580483335305e-01       1.338672891182e-07       7.947825467292e-04      -1.324620109268e-06 
   54       1.571568640870e+03       1.580142170516e-01       0.000000000000e+00      -3.989052306898e-01       1.332372702936e-07       7.792552990905e-04      -1.399460479902e-06 
   55       1.593675565441e+03       1.672863965793e-01       0.000000000000e+00      -6.533141179566e-01       1.326056923002e-07       7.643307190982e-04      -1.495131606265e-06 
   56       1.615986414306e+03       1.768637036969e-01       0.000000000000e+00      -9.215701532057e-01       1.319836869313e-07       7.500397910580e-04      -1.603359774260e-06 
   57       1.638514938245e+03       1.867475951788e-01       0.000000000000e+00      -1.203989131032e+00       1.313700533913e-07       7.363491871760e-04      -1.713641747698e-06 
   58       1.661266713847e+03       1.969393610690e-01       0.000000000000e+00      -1.500909064205e+00       1.307483792977e-07       7.231523480807e-04      -1.813034786407e-06 
   59       1.684243026932e+03       2.074390947477e-01       0.000000000000e+00      -1.812595916254e+00       1.300957284405e-07       7.103160328685e-04      -1.889189198775e-06 
   60       1.707455027969e+03       2.182423217511e-01       0.000000000000e+00      -2.138931643399e+00       1.294212345332e-07       6.978610985290e-04      -1.941206687111e-06 
   61       1.730911739908e+03       2.293425882876e-01       0.000000000000e+00      -2.479656372911e+00       1.287394752549e-07       6.858275815181e-04      -1.972141949860e-06 
