# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_m                    8:d_tot                  9:phi                   10:psi                
       4.557661323873e-04      -3.260849633952e-02      -2.466905030254e-02      -2.467080161577e-02       0.000000000000e+00      -3.257499819134e-02      -2.467389774232e-02      -2.490016621311e-02       6.116757220216e-01       5.963395981875e-01 
       4.857572031478e-04      -3.699454224523e-02      -2.802017926954e-02      -2.802243900198e-02       0.000000000000e+00      -3.695137855054e-02      -2.802591119233e-02      -2.828158597666e-02       6.115832136696e-01       5.962778465034e-01 
       5.177197688885e-04      -4.196301119137e-02      -3.182593096440e-02      -3.182884670205e-02       0.000000000000e+00      -4.190740450651e-02      -3.183273311170e-02      -3.212141908260e-02       6.114782175602e-01       5.962077335897e-01 
       5.518238862787e-04      -4.759601677863e-02      -3.615315741266e-02      -3.615692053643e-02       0.000000000000e+00      -4.752437607299e-02      -3.616126110417e-02      -3.648698574904e-02       6.113589144929e-01       5.961280330352e-01 
       5.882457055603e-04      -5.398604591215e-02      -4.107806634954e-02      -4.108292534935e-02       0.000000000000e+00      -5.389372686655e-02      -4.108776103096e-02      -4.145499935871e-02       6.112232374192e-01       5.960373499109e-01 
       6.271649027702e-04      -6.123637669491e-02      -4.668698670202e-02      -4.669326477669e-02       0.000000000000e+00      -6.111737321423e-02      -4.669863659535e-02      -4.711232453054e-02       6.110688481116e-01       5.959341065777e-01 
       6.687613103773e-04      -6.946112476722e-02      -5.307697435326e-02      -5.308509053151e-02       0.000000000000e+00      -6.930768155501e-02      -5.309103642516e-02      -5.355656859357e-02       6.108931338515e-01       5.958165291641e-01 
       7.132107422216e-04      -7.878479151524e-02      -6.035616424631e-02      -6.036666239450e-02       0.000000000000e+00      -7.858691141941e-02      -6.037321505139e-02      -6.089641554628e-02       6.106931928197e-01       5.956826474218e-01 
       7.606800931851e-04      -8.934114885712e-02      -6.864377967421e-02      -6.865736310628e-02       0.000000000000e+00      -8.908598493562e-02      -6.866454493616e-02      -6.925160593798e-02       6.104658435166e-01       5.955302913956e-01 
       8.113219001189e-04      -1.012713422985e-01      -7.806969929288e-02      -7.808727554023e-02       0.000000000000e+00      -1.009424503766e-01      -7.809509325623e-02      -7.875246804663e-02       6.102076441094e-01       5.953571043400e-01 
