# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       3.300382928713e-04       2.424455123397e+05       2.424364886974e+05       3.217847994139e+05       3.216113703533e+05       0.000000000000e+00       2.447413352944e+05 
       3.524142793491e-04       2.424359254092e+05       2.424256368637e+05       3.215656267108e+05       3.213680341648e+05       0.000000000000e+00       2.447251863181e+05 
       3.760467531986e-04       2.424251195915e+05       2.424134051690e+05       3.213186959008e+05       3.210939068367e+05       0.000000000000e+00       2.447069877106e+05 
       4.010590489279e-04       2.424129216138e+05       2.423995973376e+05       3.210400929524e+05       3.207846535923e+05       0.000000000000e+00       2.446864491345e+05 
       4.275844224802e-04       2.423991309862e+05       2.423839863574e+05       3.207252936376e+05       3.204352660272e+05       0.000000000000e+00       2.446632348265e+05 
       4.557661323873e-04       2.423835160135e+05       2.423663098658e+05       3.203690791156e+05       3.200399694635e+05       0.000000000000e+00       2.446369570820e+05 
       4.857572031478e-04       2.423658093878e+05       2.423462649834e+05       3.199654453191e+05       3.195921229328e+05       0.000000000000e+00       2.446071691161e+05 
       5.177197688885e-04       2.423457038501e+05       2.423235033444e+05       3.195075077033e+05       3.190841168934e+05       0.000000000000e+00       2.445733579073e+05 
       5.518238862787e-04       2.423228475954e+05       2.422976272267e+05       3.189874068058e+05       3.185072724487e+05       0.000000000000e+00       2.445349370385e+05 
       5.882457055603e-04       2.422968397376e+05       2.422681825695e+05       3.183962243003e+05       3.178517496115e+05       0.000000000000e+00       2.444912393781e+05 
       6.271649027702e-04       2.422672266207e+05       2.422346529349e+05       3.177239205939e+05       3.171064730164e+05       0.000000000000e+00       2.444415111741e+05 
       6.687613103773e-04       2.422334988263e+05       2.421964637523e+05       3.169592651402e+05       3.162590857529e+05       0.000000000000e+00       2.443849085620e+05 
       7.132107422216e-04       2.421950893027e+05       2.421529700297e+05       3.160898558883e+05       3.152959477015e+05       0.000000000000e+00       2.443204943991e+05 
       7.606800931851e-04       2.421513739674e+05       2.421034658248e+05       3.151021386313e+05       3.142021871712e+05       0.000000000000e+00       2.442472412081e+05 
       8.113219001189e-04       2.421016739952e+05       2.420471806238e+05       3.139815204026e+05       3.129618243727e+05       0.000000000000e+00       2.441640358617e+05 
       8.652686660505e-04       2.420452614262e+05       2.419832866076e+05       3.127125399166e+05       3.115579725168e+05       0.000000000000e+00       2.440696905950e+05 
       9.226273542794e-04       2.419813676025e+05       2.419109128606e+05       3.112791038065e+05       3.099731228328e+05       0.000000000000e+00       2.439629595438e+05 
       9.834745268089e-04       2.419091943003e+05       2.418291513230e+05       3.096648169360e+05       3.081895105664e+05       0.000000000000e+00       2.438425587218e+05 
       1.047852607621e-03       2.418279276050e+05       2.417370771432e+05       3.078533499137e+05       3.061895473484e+05       0.000000000000e+00       2.437071919472e+05 
       1.115767679970e-03       2.417367530648e+05       2.416337620660e+05       3.058288655120e+05       3.039563002040e+05       0.000000000000e+00       2.435555782560e+05 
       1.187189079911e-03       2.416348725169e+05       2.415182957300e+05       3.035764484551e+05       3.014739853173e+05       0.000000000000e+00       2.433864821676e+05 
       1.262050848026e-03       2.415215095886e+05       2.413897977294e+05       3.010824968324e+05       2.987284574726e+05       0.000000000000e+00       2.431987325780e+05 
       1.340254886192e-03       2.413950674808e+05       2.412463783787e+05       2.983338304122e+05       2.957086064926e+05       0.000000000000e+00       2.429903747754e+05 
       1.421675479984e-03       2.412557797308e+05       2.410883691133e+05       2.953220351081e+05       2.924038074642e+05       0.000000000000e+00       2.427613811149e+05 
       1.506164725124e-03       2.411030456477e+05       2.409150755848e+05       2.920395904490e+05       2.888070685438e+05       0.000000000000e+00       2.425109416815e+05 
       1.593558355216e-03       2.409363386364e+05       2.407258850958e+05       2.884814215929e+05       2.849142556958e+05       0.000000000000e+00       2.422383954733e+05 
       1.683681503499e-03       2.407552105378e+05       2.405202762235e+05       2.846449632855e+05       2.807241665723e+05       0.000000000000e+00       2.419432374297e+05 
       1.776354022962e-03       2.405592902119e+05       2.402978098254e+05       2.805301756998e+05       2.762385230926e+05       0.000000000000e+00       2.416251160304e+05 
       1.871395108775e-03       2.403482814662e+05       2.400581327317e+05       2.761394696675e+05       2.714618876829e+05       0.000000000000e+00       2.412838299298e+05 
       1.968627088387e-03       2.401219665181e+05       2.398009794467e+05       2.714776055574e+05       2.664015139819e+05       0.000000000000e+00       2.409193275373e+05 
       2.067878348742e-03       2.398801895675e+05       2.395261453581e+05       2.665515565021e+05       2.610671823900e+05       0.000000000000e+00       2.405316851201e+05 
       2.168985447312e-03       2.396228633083e+05       2.392335205603e+05       2.613703014844e+05       2.554709734740e+05       0.000000000000e+00       2.401211112550e+05 
       2.271794502225e-03       2.393499540992e+05       2.389230328649e+05       2.559447085477e+05       2.496270574567e+05       0.000000000000e+00       2.396879212061e+05 
       2.376161980488e-03       2.390614830399e+05       2.385946821525e+05       2.502872957338e+05       2.435514509942e+05       0.000000000000e+00       2.392325363024e+05 
       2.481955008035e-03       2.387575190607e+05       2.382485184784e+05       2.444120688066e+05       2.372617870293e+05       0.000000000000e+00       2.387554693298e+05 
       2.589051317719e-03       2.384381709112e+05       2.378846427480e+05       2.383343207959e+05       2.307770873937e+05       0.000000000000e+00       2.382573120095e+05 
       2.697338936790e-03       2.381035871642e+05       2.375031901986e+05       2.320704840398e+05       2.241175336751e+05       0.000000000000e+00       2.377387271158e+05 
       2.806715698050e-03       2.377539437836e+05       2.371043249299e+05       2.256379412159e+05       2.173042608804e+05       0.000000000000e+00       2.372004318331e+05 
       2.917088641569e-03       2.373894560697e+05       2.366882624738e+05       2.190548589513e+05       2.103591311975e+05       0.000000000000e+00       2.366432055196e+05 
       3.028373358023e-03       2.370103553441e+05       2.362552437787e+05       2.123400218914e+05       2.033045590479e+05       0.000000000000e+00       2.360678617208e+05 
       3.140493311229e-03       2.366169066450e+05       2.358055064932e+05       2.055127633098e+05       1.961633008672e+05       0.000000000000e+00       2.354752542673e+05 
       3.253379166472e-03       2.362093841716e+05       2.353393575118e+05       1.985926779845e+05       1.889582970955e+05       0.000000000000e+00       2.348662621335e+05 
       3.366968142561e-03       2.357880911407e+05       2.348570764429e+05       1.915996568714e+05       1.817124820928e+05       0.000000000000e+00       2.342417884891e+05 
       3.481203398983e-03       2.353533344394e+05       2.343590075341e+05       1.845535945780e+05       1.744486444700e+05       0.000000000000e+00       2.336027481325e+05 
       3.596033464646e-03       2.349054543008e+05       2.338454703006e+05       1.774744369120e+05       1.671892488231e+05       0.000000000000e+00       2.329500760134e+05 
       3.711411711222e-03       2.344447757369e+05       2.333168255731e+05       1.703818983732e+05       1.599563349149e+05       0.000000000000e+00       2.322846923268e+05 
       3.827295871646e-03       2.339716579540e+05       2.327734085412e+05       1.632955218414e+05       1.527713422454e+05       0.000000000000e+00       2.316075308723e+05 
