# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   47       1.422724275627e+03       1.022232770427e-01       6.587007237401e-04       1.002011834328e+00       1.371737310219e-07       8.978465337702e-04      -1.155819593532e-06 
   48       1.443529568400e+03       1.094038912252e-01       6.871372925893e-04       8.429428440576e-01       1.366775899207e-07       8.796475735006e-04      -1.209227407817e-06 
   49       1.464570048412e+03       1.168885872862e-01       7.161820973523e-04       6.696577114111e-01       1.361442148354e-07       8.617400801476e-04      -1.237029571293e-06 
   50       1.485844399363e+03       1.246775835536e-01       7.458347009683e-04       4.823284490827e-01       1.355970691336e-07       8.442678201422e-04      -1.248654909833e-06 
   51       1.507333733950e+03       1.327703075213e-01       7.760945717010e-04       2.812118753262e-01       1.350444113015e-07       8.273014946790e-04      -1.256619223924e-06 
   52       1.529000183854e+03       1.411653624687e-01       8.069610808058e-04       6.665336183850e-02       1.344749135338e-07       8.108257047844e-04      -1.276857143609e-06 
   53       1.550803871003e+03       1.498613114660e-01       8.384335267875e-04      -1.610365017665e-01       1.338672891182e-07       7.947825467292e-04      -1.324620109268e-06 
   54       1.572762190385e+03       1.588593429067e-01       8.705112208674e-04      -4.019977751046e-01       1.332372702936e-07       7.792552990905e-04      -1.399460479902e-06 
   55       1.594903313955e+03       1.681612322204e-01       9.031934194278e-04      -6.565057051144e-01       1.326056923002e-07       7.643307190982e-04      -1.495131606265e-06 
   56       1.617248518793e+03       1.777685853547e-01       9.364792981556e-04      -9.248545479874e-01       1.319836869313e-07       7.500397910580e-04      -1.603359774260e-06 
   57       1.639811547813e+03       1.876828396661e-01       9.703679508244e-04      -1.207359149729e+00       1.313700533913e-07       7.363491871760e-04      -1.713641747698e-06 
   58       1.662597970454e+03       1.979052648123e-01       1.004858388077e-03      -1.504356526719e+00       1.307483792977e-07       7.231523480807e-04      -1.813034786407e-06 
   59       1.685609063672e+03       2.084359333696e-01       1.039949623077e-03      -1.816111617496e+00       1.300957284405e-07       7.103160328685e-04      -1.889189198775e-06 
   60       1.708855959347e+03       2.192703515087e-01       1.075640954469e-03      -2.142505389515e+00       1.294212345332e-07       6.978610985290e-04      -1.941206687111e-06 
   61       1.732347658286e+03       2.304020460468e-01       1.111931747090e-03      -2.483276966190e+00       1.287394752549e-07       6.858275815181e-04      -1.972141949860e-06 
   62       1.756086322665e+03       2.418234925847e-01       1.148821352576e-03      -2.838111453348e+00       1.280587595814e-07       6.742197231117e-04      -1.986171044373e-06 
   63       1.780066789954e+03       2.535260814738e-01       1.186309111086e-03      -3.206638271363e+00       1.273796025374e-07       6.630012100966e-04      -1.988696528138e-06 
   64       1.804276086847e+03       2.655000837834e-01       1.224394353028e-03      -3.588429487279e+00       1.266930691701e-07       6.520902260773e-04      -1.986456185470e-06 
   65       1.828700317826e+03       2.777359621222e-01       1.263076500824e-03      -3.983088895411e+00       1.259865707830e-07       6.413939628836e-04      -1.985993842485e-06 
   66       1.853348118294e+03       2.902287022139e-01       1.302355395359e-03      -4.390544932976e+00       1.252684892249e-07       6.309369934170e-04      -1.988240043306e-06 
   67       1.878231314191e+03       3.029743405474e-01       1.342231041961e-03      -4.810817000737e+00       1.245505689812e-07       6.207641422512e-04      -1.992424312630e-06 
   68       1.903357711071e+03       3.159687039867e-01       1.382703520906e-03      -5.243931042687e+00       1.238403456442e-07       6.109020812883e-04      -1.997551933350e-06 
   69       1.928730814326e+03       3.292074133561e-01       1.423772991943e-03      -5.689920416586e+00       1.231402051259e-07       6.013569646691e-04      -2.002384436217e-06 
   70       1.954349549386e+03       3.426858870252e-01       1.465439698817e-03      -6.148826764515e+00       1.224463692667e-07       5.921119758983e-04      -2.005419468789e-06 
   71       1.980207981941e+03       3.563993444944e-01       1.507703973799e-03      -6.620700883422e+00       1.217478056425e-07       5.831247871835e-04      -2.004870043692e-06 
   72       2.006299467848e+03       3.703421495897e-01       1.550566267099e-03      -7.105543043569e+00       1.210314658849e-07       5.743468977136e-04      -1.999157405278e-06 
   73       2.032630646827e+03       3.845056861245e-01       1.594027231591e-03      -7.603108746778e+00       1.203031437118e-07       5.657941904595e-04      -1.988604351782e-06 
   74       2.059209641741e+03       3.988800790516e-01       1.638087662604e-03      -8.113067083112e+00       1.195723825894e-07       5.574918168923e-04      -1.974188019366e-06 
   75       2.086041691281e+03       4.134548074274e-01       1.682748479481e-03      -8.635057476168e+00       1.188462588817e-07       5.494526528964e-04      -1.957079999255e-06 
   76       2.113128971310e+03       4.282186929190e-01       1.728010730671e-03      -9.168689171155e+00       1.181288565810e-07       5.416759067981e-04      -1.938659648493e-06 
   77       2.140470416210e+03       4.431598883128e-01       1.773875598827e-03      -9.713540722973e+00       1.174207043229e-07       5.341456811146e-04      -1.920527751657e-06 
   78       2.168061540231e+03       4.582658660217e-01       1.820344405894e-03      -1.026915948429e+01       1.167181736576e-07       5.268294880237e-04      -1.904520533533e-06 
   79       2.195894258836e+03       4.735234065934e-01       1.867418618204e-03      -1.083506109362e+01       1.160128375503e-07       5.196767185540e-04      -1.892724022740e-06 
   80       2.223960667086e+03       4.889191712875e-01       1.915099788323e-03      -1.141076856395e+01       1.152953158370e-07       5.126361039057e-04      -1.887006543809e-06 
   81       2.252265523512e+03       5.044415596049e-01       1.963389357749e-03      -1.199593849253e+01       1.145699680993e-07       5.057169543861e-04      -1.887441547980e-06 
   82       2.280815618284e+03       5.200791548794e-01       2.012288829084e-03      -1.259025593752e+01       1.138439845374e-07       4.989409137893e-04      -1.893502749121e-06 
   83       2.309615904986e+03       5.358201681949e-01       2.061799830104e-03      -1.319339698226e+01       1.131230092837e-07       4.923236731483e-04      -1.904499599640e-06 
   84       2.338669395239e+03       5.516524377095e-01       2.111924117680e-03      -1.380502895668e+01       1.124108388516e-07       4.858743187943e-04      -1.919565287034e-06 
   85       2.367977053330e+03       5.675634279795e-01       2.162663581702e-03      -1.442481065872e+01       1.117091009696e-07       4.795946604155e-04      -1.937644415795e-06 
   86       2.397537690832e+03       5.835402292831e-01       2.214020248998e-03      -1.505239257574e+01       1.110169133174e-07       4.734785391152e-04      -1.957480374661e-06 
