#       k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
   1.401171e-04    2.425016e+05    2.425000e+05    3.230689e+05    3.230376e+05    0.000000e+00    2.425013e+05    0.000000e+00    0.000000e+00   -6.045229e-01    2.413863e+05    2.413858e+05   -4.345853e-01
   1.544729e-04    2.424989e+05    2.424970e+05    3.230080e+05    3.229699e+05    0.000000e+00    2.424986e+05    0.000000e+00    0.000000e+00   -6.045113e-01    2.413837e+05    2.413828e+05   -8.687404e-01
   1.692374e-04    2.424959e+05    2.424936e+05    3.229392e+05    3.228934e+05    0.000000e+00    2.424956e+05    0.000000e+00    0.000000e+00   -6.044982e-01    2.413805e+05    2.413797e+05   -7.911877e-01
   1.844602e-04    2.424926e+05    2.424897e+05    3.228616e+05    3.228073e+05    0.000000e+00    2.424921e+05    0.000000e+00    0.000000e+00   -6.044834e-01    2.413772e+05    2.413763e+05   -8.332356e-01
   2.001946e-04    2.424888e+05    2.424854e+05    3.227745e+05    3.227105e+05    0.000000e+00    2.424882e+05    0.000000e+00    0.000000e+00   -6.044668e-01    2.413737e+05    2.413729e+05   -8.514286e-01
   2.164985e-04    2.424845e+05    2.424806e+05    3.226767e+05    3.226019e+05    0.000000e+00    2.424838e+05    0.000000e+00    0.000000e+00   -6.044482e-01    2.413697e+05    2.413687e+05   -9.642853e-01
   2.334344e-04    2.424797e+05    2.424752e+05    3.225670e+05    3.224801e+05    0.000000e+00    2.424790e+05    0.000000e+00    0.000000e+00   -6.044273e-01    2.413648e+05    2.413637e+05   -1.119934e+00
   2.510706e-04    2.424743e+05    2.424691e+05    3.224441e+05    3.223436e+05    0.000000e+00    2.424735e+05    0.000000e+00    0.000000e+00   -6.044039e-01    2.413596e+05    2.413583e+05   -1.291097e+00
   2.694812e-04    2.424683e+05    2.424623e+05    3.223063e+05    3.221906e+05    0.000000e+00    2.424673e+05    0.000000e+00    0.000000e+00   -6.043777e-01    2.413533e+05    2.413518e+05   -1.494857e+00
   2.887471e-04    2.424616e+05    2.424547e+05    3.221516e+05    3.220189e+05    0.000000e+00    2.424604e+05    0.000000e+00    0.000000e+00   -6.043482e-01    2.413466e+05    2.413449e+05   -1.715864e+00
   3.089566e-04    2.424540e+05    2.424461e+05    3.219781e+05    3.218262e+05    0.000000e+00    2.424527e+05    0.000000e+00    0.000000e+00   -6.043151e-01    2.413391e+05    2.413371e+05   -1.962363e+00
   3.302056e-04    2.424454e+05    2.424364e+05    3.217830e+05    3.216096e+05    0.000000e+00    2.424440e+05    0.000000e+00    0.000000e+00   -6.042779e-01    2.413306e+05    2.413284e+05   -2.238537e+00
   3.525991e-04    2.424358e+05    2.424256e+05    3.215635e+05    3.213660e+05    0.000000e+00    2.424342e+05    0.000000e+00    0.000000e+00   -6.042361e-01    2.413211e+05    2.413186e+05   -2.547098e+00
   3.762509e-04    2.424250e+05    2.424133e+05    3.213162e+05    3.210915e+05    0.000000e+00    2.424231e+05    0.000000e+00    0.000000e+00   -6.041889e-01    2.413104e+05    2.413075e+05   -2.904355e+00
   4.012846e-04    2.424128e+05    2.423995e+05    3.210372e+05    3.207818e+05    0.000000e+00    2.424106e+05    0.000000e+00    0.000000e+00   -6.041356e-01    2.412983e+05    2.412950e+05   -3.297625e+00
   4.278337e-04    2.423990e+05    2.423839e+05    3.207219e+05    3.204319e+05    0.000000e+00    2.423965e+05    0.000000e+00    0.000000e+00   -6.040754e-01    2.412845e+05    2.412808e+05   -3.744948e+00
   4.560417e-04    2.423834e+05    2.423662e+05    3.203651e+05    3.200360e+05    0.000000e+00    2.423805e+05    0.000000e+00    0.000000e+00   -6.040073e-01    2.412691e+05    2.412651e+05   -3.945130e+00
   4.860618e-04    2.423656e+05    2.423461e+05    3.199608e+05    3.195874e+05    0.000000e+00    2.423624e+05    0.000000e+00    0.000000e+00   -6.039300e-01    2.412513e+05    2.412467e+05   -4.651239e+00
   5.180564e-04    2.423455e+05    2.423233e+05    3.195020e+05    3.190786e+05    0.000000e+00    2.423418e+05    0.000000e+00    0.000000e+00   -6.038423e-01    2.412313e+05    2.412261e+05   -5.216444e+00
   5.521959e-04    2.423226e+05    2.422974e+05    3.189810e+05    3.185008e+05    0.000000e+00    2.423184e+05    0.000000e+00    0.000000e+00   -6.037427e-01    2.412083e+05    2.412018e+05   -6.512477e+00
   5.886567e-04    2.422965e+05    2.422679e+05    3.183887e+05    3.178441e+05    0.000000e+00    2.422918e+05    0.000000e+00    0.000000e+00   -6.036293e-01    2.411824e+05    2.411752e+05   -7.193078e+00
   6.276186e-04    2.422669e+05    2.422343e+05    3.177151e+05    3.170975e+05    0.000000e+00    2.422615e+05    0.000000e+00    0.000000e+00   -6.035002e-01    2.411529e+05    2.411448e+05   -8.090913e+00
   6.692616e-04    2.422331e+05    2.421961e+05    3.169489e+05    3.162486e+05    0.000000e+00    2.422270e+05    0.000000e+00    0.000000e+00   -6.033533e-01    2.411191e+05    2.411097e+05   -9.435898e+00
   7.137617e-04    2.421946e+05    2.421525e+05    3.160778e+05    3.152836e+05    0.000000e+00    2.421877e+05    0.000000e+00    0.000000e+00   -6.031861e-01    2.410808e+05    2.410703e+05   -1.048215e+01
   7.612858e-04    2.421508e+05    2.421029e+05    3.150881e+05    3.141878e+05    0.000000e+00    2.421429e+05    0.000000e+00    0.000000e+00   -6.029959e-01    2.410371e+05    2.410253e+05   -1.188388e+01
   8.119865e-04    2.421010e+05    2.420465e+05    3.139651e+05    3.129450e+05    0.000000e+00    2.420920e+05    0.000000e+00    0.000000e+00   -6.027797e-01    2.409874e+05    2.409737e+05   -1.371796e+01
   8.659960e-04    2.420445e+05    2.419825e+05    3.126935e+05    3.115385e+05    0.000000e+00    2.420343e+05    0.000000e+00    0.000000e+00   -6.025346e-01    2.409310e+05    2.409155e+05   -1.551895e+01
   9.234211e-04    2.419804e+05    2.419100e+05    3.112571e+05    3.099505e+05    0.000000e+00    2.419689e+05    0.000000e+00    0.000000e+00   -6.022572e-01    2.408673e+05    2.408500e+05   -1.728309e+01
   9.843381e-04    2.419081e+05    2.418281e+05    3.096394e+05    3.081634e+05    0.000000e+00    2.418950e+05    0.000000e+00    0.000000e+00   -6.019442e-01    2.407951e+05    2.407753e+05   -1.976775e+01
   1.048789e-03    2.418267e+05    2.417359e+05    3.078242e+05    3.061596e+05    0.000000e+00    2.418118e+05    0.000000e+00    0.000000e+00   -6.015922e-01    2.407138e+05    2.406913e+05   -2.243991e+01
   1.116779e-03    2.417353e+05    2.416324e+05    3.057956e+05    3.039221e+05    0.000000e+00    2.417184e+05    0.000000e+00    0.000000e+00   -6.011977e-01    2.406226e+05    2.405975e+05   -2.516063e+01
   1.188277e-03    2.416332e+05    2.415168e+05    3.035386e+05    3.014351e+05    0.000000e+00    2.416141e+05    0.000000e+00    0.000000e+00   -6.007576e-01    2.405205e+05    2.404918e+05   -2.872380e+01
   1.263217e-03    2.415196e+05    2.413880e+05    3.010397e+05    2.986845e+05    0.000000e+00    2.414980e+05    0.000000e+00    0.000000e+00   -6.002687e-01    2.404069e+05    2.403744e+05   -3.253202e+01
   1.341500e-03    2.413929e+05    2.412444e+05    2.982857e+05    2.956592e+05    0.000000e+00    2.413685e+05    0.000000e+00    0.000000e+00   -5.997257e-01    2.402804e+05    2.402438e+05   -3.662314e+01
   1.423000e-03    2.412534e+05    2.410861e+05    2.952682e+05    2.923487e+05    0.000000e+00    2.412259e+05    0.000000e+00    0.000000e+00   -5.991287e-01    2.401412e+05    2.401008e+05   -4.042641e+01
   1.507568e-03    2.411004e+05    2.409126e+05    2.919798e+05    2.887459e+05    0.000000e+00    2.410695e+05    0.000000e+00    0.000000e+00   -5.984754e-01    2.399878e+05    2.399415e+05   -4.629607e+01
